;item_parc;group1;group2;mean
Fitness_Gesundheit1;Fitness/Gesundheit;m;1;3.51
Fitness_Gesundheit2;Fitness/Gesundheit;w;1;3.83
Fitness_Gesundheit3;Fitness/Gesundheit;m;2;3.75
Fitness_Gesundheit4;Fitness/Gesundheit;w;2;4.11
Fitness_Gesundheit5;Fitness/Gesundheit;m;3;4.5
Fitness_Gesundheit6;Fitness/Gesundheit;w;3;4.2
Kontaktmotiv1;Kontaktmotiv;m;1;2.33
Kontaktmotiv2;Kontaktmotiv;w;1;1.79
Kontaktmotiv3;Kontaktmotiv;m;2;2.67
Kontaktmotiv4;Kontaktmotiv;w;2;1.93
Kontaktmotiv5;Kontaktmotiv;m;3;2.28
Kontaktmotiv6;Kontaktmotiv;w;3;2
Ablenkung_Katharsis1;Ablenkung/Katharsis;m;1;3.37
Ablenkung_Katharsis2;Ablenkung/Katharsis;w;1;3.3
Ablenkung_Katharsis3;Ablenkung/Katharsis;m;2;3.77
Ablenkung_Katharsis4;Ablenkung/Katharsis;w;2;3.13
Ablenkung_Katharsis5;Ablenkung/Katharsis;m;3;2.53
Ablenkung_Katharsis6;Ablenkung/Katharsis;w;3;2.68
Aktivierung_Freude1;Aktivierung/Freude;m;1;3.51
Aktivierung_Freude2;Aktivierung/Freude;w;1;3.96
Aktivierung_Freude3;Aktivierung/Freude;m;2;3.76
Aktivierung_Freude4;Aktivierung/Freude;w;2;4.2
Aktivierung_Freude5;Aktivierung/Freude;m;3;3.96
Aktivierung_Freude6;Aktivierung/Freude;w;3;4.11
Wettkampf_Leistung1;Wettkampf/Leistung;m;1;3.42
Wettkampf_Leistung2;Wettkampf/Leistung;w;1;1.9
Wettkampf_Leistung3;Wettkampf/Leistung;m;2;3.55
Wettkampf_Leistung4;Wettkampf/Leistung;w;2;1.68
Wettkampf_Leistung5;Wettkampf/Leistung;m;3;1.93
Wettkampf_Leistung6;Wettkampf/Leistung;w;3;1.3
Figur_Aussehen1;Figur/Aussehen;m;1;2.96
Figur_Aussehen2;Figur/Aussehen;w;1;3.44
Figur_Aussehen3;Figur/Aussehen;m;2;2.2
Figur_Aussehen4;Figur/Aussehen;w;2;3.67
Figur_Aussehen5;Figur/Aussehen;m;3;2.31
Figur_Aussehen6;Figur/Aussehen;w;3;2.82
Aesthetik1;Aesthetik;m;1;2.93
Aesthetik2;Aesthetik;w;1;3.43
Aesthetik3;Aesthetik;m;2;2.6
Aesthetik4;Aesthetik;w;2;2.9
Aesthetik5;Aesthetik;m;3;3.47
Aesthetik6;Aesthetik;w;3;3.67
Setting_Natur1;Setting/Natur;m;1;3.47
Setting_Natur2;Setting/Natur;w;1;3.83
Setting_Natur3;Setting/Natur;m;2;2.6
Setting_Natur4;Setting/Natur;w;2;3.33
Setting_Natur5;Setting/Natur;m;3;3.77
Setting_Natur6;Setting/Natur;w;3;3.87
